t,CPI,PPR_dQ1,PPR_dQ2,PPR_dQ3,PPR_dQ4,PPR_dQ5,PPR_dQ6,PPR_dQ7,PPR_dQ8,PPR_dQ9,PPR_dQ10,PPR_dQ11,PPR_dQ12,PPR_dQ13,PPR_dQ14,PPR_dQ15,PPR_dQ16
2011-03-31,1.4022331862000001,1.36,,0.81,0.95,0.95,,2.06,2.1,2.03,,2.53,2.56,2.75,,,
2011-06-30,1.4200877872,1.58,1.22,,0.97,1.44,1.68,,2.13,2.19,2.11,,2.48,2.54,2.74,,
2011-09-30,1.4824447334,1.48,1.99,1.74,,1.5,1.99,2.05,,2.24,2.27,2.2,,2.46,2.52,2.73,
2011-12-31,0.9018294254000001,,1.2,1.64,1.5,,1.66,2.03,2.25,,2.33,2.34,2.28,,2.43,2.52,2.68
2012-03-31,0.8194622279000001,0.75,,0.95,1.08,0.98,,1.83,2.15,2.26,,2.41,2.4,2.36,,,
2012-06-30,0.432790224,0.5377853585,0.58,,1.15,1.46,1.7,,1.89,2.16,2.36,,2.46,2.45,2.42,,
2012-09-30,0.3844182471,0.38441825009999997,1.0080600641,1.18,,1.81,2.0,2.09,,1.95,2.23,2.46,,2.53,2.49,2.47,
2012-12-31,1.2002042901,,1.5096997753999999,1.5917049184,1.77,,1.97,2.26,2.16,,2.03,2.27,2.52,,2.56,2.51,2.5
2013-03-31,1.2192024384,1.22,,1.2844762337,1.2825237523000002,1.34,,1.87,2.34,2.22,,2.14,2.32,2.57,,,
2013-06-30,1.9771863118000002,1.9526349526,1.66,,2.036021448,1.8947810156,1.87,,2.14,2.39,2.29,,2.22,2.33,2.58,,
2013-09-30,3.0125095737,3.14,2.1369920774,2.06,,2.6558290746,2.0573012796,2.01,,2.21,2.4,2.36,,2.31,2.36,2.6,
2013-12-31,2.3214736311,2.36,2.57,1.6021564116999998,1.55,,1.8638182571000002,1.8548947443000001,1.79,,2.27,2.41,2.4,,2.39,2.38,2.61
2014-03-31,2.1329987453,2.1647486033,2.06,2.17,1.1828312162999999,1.2,,1.7886087547,1.8880796076,1.97,,2.33,2.43,2.45,,,
2014-06-30,1.8394233159,1.9504310127000002,2.0629990542,1.96,2.35,1.3588276115,1.53,,1.9472673017,2.0390726103,2.05,,2.36,2.46,2.47,,
2014-09-30,,2.24,1.7192750715,1.7664842246999999,1.71,2.46,1.6953515247,1.78,,2.1145639462,2.1913200416,2.14,,2.4,2.48,2.51,
2014-12-31,,1.98,2.28,1.7826282486000002,1.6373017526,1.81,2.32,1.7189800919,1.77,,2.2343622275999997,2.2969097249,2.2,,2.41,2.5,2.53
2015-03-31,,2.0,2.12,2.38,1.9076844028,1.9361808994999998,1.8,2.17,1.7132323081999998,1.79,,2.3247862006,2.378589874,2.2154990000000003,,,
2015-06-30,,2.01,2.33,2.57,2.56,2.0729115749,1.9989545169999998,1.96,2.08,1.7658463363999999,1.85,,2.3593182877000003,2.4063298191999998,2.2154990000000003,,
2015-09-30,,,1.62,2.12,2.3,1.86,1.9594480828999998,2.0656322046,2.04,1.96,1.8026759556,1.92,,2.3908153064,2.4289241499000003,2.235909,
2015-12-31,,,,2.07,2.57,2.79,2.16,2.0238367505,2.4068032997,1.98,2.01,1.8176759556,1.96,,2.3892139718000003,2.4144299903,2.246054
2016-03-31,,,,,2.28,2.27,2.65,1.92,1.9675035750999998,2.1766142197,2.02,2.04,1.8326759556,2.0,,,
2016-06-30,,,,,,2.26,2.33,2.78,2.17,2.2774423024,2.2540444506,2.05,2.07,1.8476759556,2.02,,
2016-09-30,,,,,,,2.31,2.51,2.81,2.26,2.4263920844999998,2.4471486265999998,2.12,2.12,1.8626759556,2.05,
2016-12-31,,,,,,,,2.08,2.16,2.68,2.15,2.2871944226,2.3076805596,2.18,2.18,1.8776759556,2.07
2017-03-31,,,,,,,,,1.83,2.39,2.63,2.15,2.295187886,2.3264123832,,,
2017-06-30,,,,,,,,,,2.07,2.42,2.59,2.15,2.2834708217,2.3271556652000003,,
2017-09-30,,,,,,,,,,,2.2,2.13,2.56,2.16,2.2956766216999998,2.3521712639,
2017-12-31,,,,,,,,,,,,2.0,2.11,2.54,2.17,2.2993409712,2.357138592
