t;PPR3_05folio;PPR1_06folio;PPR2_06folio;PPR3_06folio;PPR1_07folio;PPR2_07folio;PPR3_07folio;PPR1_08folio;PPR2_08folio;PPR3_08folio;PPR4_08folio;PPR1_09folio;PPR2_09folio;PPR3_09folio;PPR1_10folio;PPR2_10folio;PPR3_10folio;PPR1_11folio;PPR2_11folio;PPR3_11folio;PPR1_12folio;PPR2_12folio;PPR3_12folio;PPR1_13folio;PPR2_13folio;PPR3_13folio;PPR4_13folio;PPR1_14folio;PPR2_14folio;PPR3_14folio;PPR4_14folio;PPR1_15folio;PPR2_15folio;PPR3_15folio;PPR4_15folio;PPR1_16folio;PPR3_05gap;PPR1_06gap;PPR2_06gap;PPR3_06gap;PPR1_07gap;PPR2_07gap;PPR3_07gap;PPR1_08gap;PPR2_08gap;PPR3_08gap;PPR4_08gap;PPR1_09gap;PPR2_09gap;PPR3_09gap;PPR1_10gap;PPR2_10gap;PPR3_10gap;PPR1_11gap;PPR2_11gap;PPR3_11gap;PPR1_12gap;PPR2_12gap;PPR3_12gap;PPR1_13gap;PPR2_13gap;PPR3_13gap;PPR4_13gap;PPR1_14gap;PPR2_14gap;PPR3_14gap;PPR4_14gap;PPR1_15gap;PPR2_15gap;PPR3_15gap;PPR4_gap;PPR1_16gap;PPR2_06cpi;PPR3_06cpi;PPR1_07cpi;PPR2_07cpi;PPR3_07cpi;PPR1_08cpi;PPR2_08cpi;PPR3_08cpi;PPR4_08cpi;PPR1_09cpi;PPR2_09cpi;PPR3_09cpi;PPR1_10cpi;PPR2_10cpi;PPR3_10cpi;PPR1_11cpi;PPR2_11cpi;PPR3_11cpi;PPR1_12cpi;PPR2_12cpi;PPR3_12cpi;PPR1_13cpi;PPR2_13cpi;PPR3_13cpi;PPR4_13cpi;PPR1_14cpi;PPR2_14cpi;PPR3_14cpi;PPR4_14cpi;PPR1_15cpi;PPR2_15cpi;PPR3_15cpi;PPR4_15cpi;PPR1_16cpi;PPR3_05jae;PPR1_06jae;PPR2_06jae;PPR3_06jae;PPR1_07jae;PPR2_07jae;PPR3_07jae;PPR1_08jae;PPR2_08xe;PPR3_08xe;PPR4_08xe;PPR1_09xe;PPR2_09xe;PPR3_09xe;PPR1_10xe;PPR2_10xe;PPR3_10xe;PPR1_11xe;PPR2_11xe;PPR3_11xe;PPR1_12xe;PPR2_12xe;PPR3_12xe;PPR1_13xe;PPR2_13xe;PPR3_13xe;PPR4_13xe;PPR1_14xe;PPR2_14xe;PPR3_14xe;PPR4_14xe;PPR1_15xe;PPR2_15xe;PPR3_15xe;PPR4_15xe;PPR1_16xe;;Foliorente;Produksjonsgap;CPI;CPI-jae;CPI handelspartnere (20). sesongjustert;I44;Arbeidsledighet;BNP Norge. fate priser sesongjuster;BNP Fastlandsnorge. faste priser sesongjunster;K2 husholdningel andel av BNP;K2 husholdninger. chained;Boligprisindeks;Kreditt Gap mot trend ved ensidig HP-filter³;Kreditt Gap mot trend ved utvidet HP-filter²;Kreditt Gap mot snitt siste 10 år;Boligpris Gap mot trend med ensidig HP-filter?;Boligpris Gap mot trend med utvidet HP-filter³;BoligprisGap mot snitt (rekursivt);NæringseiendomGap mot trend ved ensidig HP-filter³;NæringseiendomGap mot trend ved utvidet HP-filter²;NæringseiendomGap mot snitt (rekursivt);Kreditt/GDP (sum k2 husholdninger og k3 ikke-finansielle foretak i FLN) ;Gjeld (endring) husholdninger. firekvartalsvekst. ;Gjeldsvekst;Boligprisvekst
2007-06-30;3.3;3.36;3.64;3.89;4.09;4.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;1.33;1.54;2.19;2.34;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.42;1.03;0.36;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1.65;1.46;1.15;1.3;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.1017;3.1;0.339463478;1.351351351;105.3167686;91.9539;1.895;593070;491736.4517;96.82320907;1627239.448;130;16.68;12.98;27.69;16.15;11.02;36.26;42.52;22.69;24.32;169.67;12.07;12.10;14.79
2007-09-30;3.5;3.53;3.85;4.26;4.51;4.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96;1.35;1.52;2.16;2.31;2.43;2.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.58;0.61;0.37;0.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1;1.72;1.53;1.3;1.56;1.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.6308;3.25;0.169635284;1.595778326;105.7429659;89.7521;1.892;602532;501607.2443;97.30955434;1671212.871;129.8;15.55;12.02;26.68;13.55;9.00;34.51;39.46;20.06;24.03;170.01;11.75;11.80;10.00
2007-12-31;3.7;3.72;4.05;4.55;4.81;5.06;5.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91;1.36;1.48;2.07;2.23;2.43;2.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.61;0.73;0.97;1.19;1.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;1.85;1.62;1.51;1.68;1.67;1.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0397;3.3;1.373804336;1.582865282;107.0678857;88.4341;1.759;608932;508444.111;97.72798439;1717301.551;126.9;16.72;13.29;28.02;9.75;6.30;31.04;58.10;34.17;44.80;172.74;11.21;11.20;5.16
2008-03-31;3.9;3.88;4.22;4.78;5;5.37;5.25;5.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.87;1.36;1.43;1.94;2.05;2.29;2.8;3.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.91;1.34;2.45;3;3.57;3.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3;2.2;1.9;1.88;1.84;1.86;1.74;2.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.25;3.09;3.543511359;2.092654192;108.0814547;88.4184;1.623;596981.7;504147.1475;98.57962478;1749859.35;129.9;18.58;15.09;30.13;7.22;5.06;28.90;53.19;28.19;44.20;176.31;11.06;11.00;1.65
2008-06-30;4.1;4.05;4.39;4.97;5.1;5.62;5.37;5.44;5.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.82;1.34;1.38;1.78;1.87;2.07;2.54;2.79;2.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.11;1.83;2.45;3.12;3.51;2.88;3.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4;2.28;2.14;2.07;1.97;1.98;1.84;2.25;3.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.4444;2.69;3.213992709;2.370666667;109.1376154;87.254;1.582;601357.2;508722.6279;98.57803345;1788617.662;131.5;17.80;14.37;29.64;3.55;2.82;25.12;48.51;24.06;43.42;177.22;9.92;9.90;-0.24
2008-09-30;4.3;4.21;4.55;5.12;5.2;5.75;5.37;5.63;5.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.77;1.3;1.32;1.61;1.68;1.83;2.2;2.35;2.35;2.05;;;;;;;;;;;;;;;;;;;;;;;;;;;2.19;2.09;2.36;2.85;3.56;3.31;4.77;4.71;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.31;2.16;2.27;2.08;2.04;1.89;2.27;3.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.75;2.05;4.713801863;2.935081337;110.165841;89.1091;1.712;599170.3;507526.6063;98.51133507;1819740.022;127;17.60;14.09;29.67;-0.47;0.30;20.64;44.42;20.37;42.85;178.71;8.89;8.80;-2.80
2008-12-31;4.5;4.35;4.69;5.23;5.26;5.76;5.37;5.61;5.84;4.95;;;;;;;;;;;;;;;;;;;;;;;;;;;0.73;1.25;1.26;1.42;1.5;1.59;1.87;1.83;1.9;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;2.21;2.32;2.36;2.66;2.85;2.72;4.32;3.88;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.39;2.19;2.36;2.13;2.11;1.93;2.14;3.19;3.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.8095;0.28;3.595850622;2.880952381;109.7637802;98.3984;1.981;597609.9;500154.3929;99.12847228;1846637.545;118.1;21.76;17.93;34.18;-7.04;-4.69;12.68;25.67;7.75;26.18;184.84;7.53;7.10;-7.13
2009-03-31;;4.49;4.81;5.3;5.31;5.76;5.31;5.5;5.88;4.49;2.69;2.66;;;;;;;;;;;;;;;;;;;;;;;;;;1.19;1.18;1.23;1.32;1.36;1.58;1.49;1.57;0.35;;-0.55;;;;;;;;;;;;;;;;;;;;;;;;;2.32;2.41;2.29;2.3;2.09;2.29;3.78;3.26;;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;2.46;2.35;2.42;2.29;2.3;2.09;2.18;3.02;3.4;;2.85;;;;;;;;;;;;;;;;;;;;;;;;;;2.6587;-0.52;2.437301307;2.839277403;109.3714829;96.1402;2.514;591568;497414.2093;99.68016642;1870923.022;123;20.69;16.84;33.44;-6.88;-3.05;12.87;23.60;8.95;25.89;185.72;6.92;6.70;-5.60
2009-06-30;;4.61;4.94;5.35;5.34;5.76;5.25;5.34;5.88;4.24;2.25;1.68;1.66;;;;;;;;;;;;;;;;;;;;;;;;;1.12;1.12;1.05;1.15;1.16;1.33;1.26;1.21;-0.39;;-1.23;-1.01;;;;;;;;;;;;;;;;;;;;;;;;2.36;2.49;2.34;2.35;2.12;3.08;3.96;3.78;;2.66;2.94;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.43;2.49;2.34;2.35;2.12;2.2;2.97;3.25;;2.7;2.84;;;;;;;;;;;;;;;;;;;;;;;;;1.6483;-0.91;3.114184961;2.951945146;109.5243725;95.1039;2.782;587648.8;496486.66;101.8766766;1905534.577;129.5;20.21;16.27;33.30;-5.44;-0.52;14.67;14.33;4.12;17.61;187.19;6.54;6.40;-1.82
2009-09-30;;4.72;5.06;5.38;5.35;5.71;5.2;5.16;5.81;4.02;2.01;1.3;1.25;;;;;;;;;;;;;;;;;;;;;;;;;1.06;1.06;0.87;1;0.97;1.12;1.04;0.88;-0.62;;-1.67;-1.5;-1.15;;;;;;;;;;;;;;;;;;;;;;;2.4;2.52;2.44;2.46;2.29;2.81;2.75;2.76;;1.55;1.78;1.75;;;;;;;;;;;;;;;;;;;;;;;;2.54;2.47;2.54;2.44;2.46;2.29;2.28;2.94;3.18;;2.28;2.35;;;;;;;;;;;;;;;;;;;;;;;;;1.25;-1.1;1.7517473;2.419649826;109.8690583;94.0802;2.823;588265.6;495953.2727;103.448861;1935101.864;131.8;18.33;14.43;31.71;-3.84;1.60;16.76;13.09;6.41;17.43;187.18;6.34;6.40;3.39
2009-12-31;;4.83;5.18;5.39;5.32;5.65;5.15;4.98;5.67;3.87;1.95;1.04;1.25;1.44;;;;;;;;;;;;;;;;;;;;;;;;0.99;1.01;0.7;0.86;0.82;0.95;0.87;0.63;-0.74;;-1.88;-1.72;-1.1;;;;;;;;;;;;;;;;;;;;;;;2.49;2.54;2.48;2.5;2.35;2.44;2.26;2.65;;1.21;1.41;1.37;;;;;;;;;;;;;;;;;;;;;;;;2.57;2.53;2.56;2.48;2.5;2.35;2.37;2.89;3.08;;2.06;2;2.25;;;;;;;;;;;;;;;;;;;;;;;;1.457;-1.05;1.388788755;2.285422042;110.3494234;89.985;2.848;589232.3;502026.4051;104.6386267;1962863.679;131.8;16.38;13.21;29.99;-3.23;1.75;17.66;9.21;4.55;14.27;187.03;6.29;6.70;11.11
2010-03-31;;;;;5.3;5.58;5.12;4.84;5.52;3.78;2.02;1.06;1.25;1.71;1.75;;;;;;;;;;;;;;;;;;;;;;;;;;0.74;0.68;0.8;0.7;0.46;-0.74;;-2.01;-1.72;-0.87;-0.97;;;;;;;;;;;;;;;;;;;;;;;;2.57;2.6;2.54;2.49;2.49;2.79;;1.89;1.83;1.71;2.97;;;;;;;;;;;;;;;;;;;;;;;;;;2.57;2.6;2.54;2.48;2.86;2.98;;1.81;1.7;1.92;2.15;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.97;2.94039027;1.964133219;110.8300279;89.251;2.967;593838.9;508550.8943;104.4917485;1984397.43;136.3;14.02;11.70;27.79;-3.89;0.65;16.99;8.30;5.44;14.13;186.35;6.07;6.40;10.96
2010-06-30;;;;;5.26;5.49;5.09;4.75;5.38;3.76;2.16;1.2;1.4;1.97;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;;0.63;0.56;0.68;0.57;0.35;-0.65;;-1.85;-1.55;-0.67;-0.85;-0.95;;;;;;;;;;;;;;;;;;;;;;;2.62;2.6;2.58;2.57;2.5;2.71;;1.84;1.72;1.51;2.3;2.56;;;;;;;;;;;;;;;;;;;;;;;;;2.62;2.6;2.58;2.56;2.79;2.87;;1.76;1.82;1.48;1.72;1.8;;;;;;;;;;;;;;;;;;;;;;1.9068;-0.95;2.59602649;1.49001968;111.1726805;89.9035;2.915;593311.8;503555.1187;104.8295161;2020224.866;141.3;13.67;12.21;27.68;-4.13;0.17;16.79;12.81;10.18;20.01;187.69;6.02;6.20;8.82
2010-09-30;;;;;5.26;5.42;5.07;4.71;5.27;3.79;2.34;1.46;1.68;2.33;2.02;2;;;;;;;;;;;;;;;;;;;;;;;;;0.54;0.46;0.58;0.46;0.26;-0.51;;-1.56;-1.26;-0.46;-0.52;-0.77;-0.77;;;;;;;;;;;;;;;;;;;;;;2.62;2.6;2.62;2.67;2.52;2.65;;1.88;1.84;1.89;2.17;2.18;1.85;;;;;;;;;;;;;;;;;;;;;;;;2.62;2.6;2.62;2.66;2.73;2.77;;1.79;1.9;1.89;1.73;1.74;;;;;;;;;;;;;;;;;;;;;;2;-0.77;1.854304636;1.181102362;111.6043862;90.7831;2.836;585522.6;506627.8512;104.5085275;2043523.853;140.6;11.17;10.59;25.50;-3.89;0.38;17.19;11.61;9.32;19.81;186.74;5.60;6.30;6.50
2010-12-31;;;;;5.23;5.34;5.06;4.71;5.19;3.86;2.56;1.77;1.99;2.59;2.27;2.02;2;;;;;;;;;;;;;;;;;;;;;;;;0.45;0.38;0.49;0.38;0.23;-0.35;;-1.28;-0.97;-0.24;-0.32;-0.64;-0.6;;;;;;;;;;;;;;;;;;;;;;2.62;2.6;2.62;2.72;2.54;2.58;;1.94;2.01;1.91;2.24;2.28;2.03;;;;;;;;;;;;;;;;;;;;;;;;2.62;2.6;2.62;2.72;2.69;2.67;;1.86;2.01;1.91;1.71;1.69;1.38;;;;;;;;;;;;;;;;;;;;;2;-0.6;2.212272847;1.005586592;112.5261887;91.1035;2.914;599049.3;507532.7615;104.5608623;2078002.845;140.5;9.86;10.09;24.48;-2.30;1.92;19.31;19.83;16.33;30.30;186.94;5.87;6.50;7.15
2011-03-31;;;;;;;;4.74;5.13;3.96;2.8;2.1;2.38;2.9;2.46;2.22;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;0.18;-0.22;;-1.02;-0.67;-0.07;-0.25;-0.54;-0.4;-0.4;;;;;;;;;;;;;;;;;;;;;;;;2.75;2.56;2.53;;2.03;2.1;2.06;0.95;0.95;0.81;1.36;;;;;;;;;;;;;;;;;;;;;;;;;;2.75;2.66;2.6;;1.95;2.09;1.99;1.8;1.74;1.29;1.08;;;;;;;;;;;;;;;;;;;;2;-0.3;1.402233186;0.753768844;113.512128;89.1211;2.781;594076.8;512133.9272;104.8717079;2106576.964;147.7;7.50;8.50;22.31;-1.34;2.63;20.73;18.06;13.60;29.97;185.96;6.16;6.80;8.46
2011-06-30;;;;;;;;4.78;5.1;4.07;3.04;2.44;2.73;3.29;2.7;2.27;2.01;2.08;2.13;;;;;;;;;;;;;;;;;;;;;;;;;0.25;0.14;-0.12;;-0.76;-0.4;0.01;-0.25;-0.38;-0.24;-0.22;0;;;;;;;;;;;;;;;;;;;;;;;2.74;2.54;2.48;;2.11;2.19;2.13;1.68;1.44;0.97;1.22;1.58;;;;;;;;;;;;;;;;;;;;;;;;;2.74;2.6;2.52;;2.04;2.17;2.07;2.01;1.97;1.44;1.17;1.37;;;;;;;;;;;;;;;;;;;2.1356;-0.1;1.420087787;0.997229917;114.3830416;87.8383;2.675;597545.2;518280.6441;105.7918115;2150222.856;151.8;7.24;9.03;22.27;-1.40;2.22;20.89;30.85;24.04;46.76;187.09;6.43;7.10;8.64
