t;PPR3_05folio_sterkere_handelsvridninger;PPR3_05gap_sterkere_handelsvridninger;PPR3_05jae_sterkere_handelsvridninger;PPR1_06folio_lavere_inflasjon;PPR1_06gap_lavere_inflasjon;PPR1_06jae_lavere_inflasjon;PPR2_06folio_lavere_inflasjon;PPR2_06gap_lavere_inflasjon;PPR2_06jae_lavere_inflasjon;PPR3_06folio_lavere_inflasjon;PPR3_06gap_lavere_inflasjon;PPR3_06jae_lavere_inflasjon;PPR1_07folio_lavere_inflasjon;PPR1_07gap_lavere_inflasjon;PPR1_07jae_lavere_inflasjon;PPR2_07folio_lavere_inflasjon;PPR2_07gap_lavere_inflasjon;PPR2_07jae_lavere_inflasjon;PPR3_07folio_lavere_inflasjon;PPR3_07gap_lavere_inflasjon;PPR3_07jae_lavere_inflasjon;PPR1_08folio_lavere_inflasjon;PPR1_08gap_lavere_inflasjon;PPR1_08jae_lavere_inflasjon;PPR2_08folio_lavere_inflasjon;PPR2_08gap_lavere_inflasjon;PPR2_08xe_lavere_inflasjon;PPR3_08folio_lavere_etterspørsel;PPR3_08gap_lavere_etterspørsel;PPR3_08xe_lavere_etterspørsel;PPR1_09folio_lavere_etterspørsel;PPR1_09gap_lavere_etterspørsel;PPR1_09xe_lavere_etterspørsel;PPR2_09folio_lavere_etterspørsel;PPR2_09gap_lavere_etterspørsel;PPR2_09xe_lavere_etterspørsel;PPR3_09folio_lavere_inflasjon;PPR3_09gap_lavere_inflasjon;PPR3_09xe_lavere_inflasjon;PPR1_10folio_lavere_etterspørsel;PPR1_10gap_lavere_etterspørsel;PPR1_10xe_lavere_etterspørsel;PPR2_10folio_vedvarende_uro_Europa;PPR2_10gap_vedvarende_uro_Europa;PPR2_10xe_vedvarende_uro_Europa;PPR3_10folio_vedvarende_lav_vekst_verden;PPR3_10gap_vedvarende_lav_vekst_verden;PPR3_10xe_vedvarende_lav_vekst_verden;PPR1_11folio_sterkere_kronekurs;PPR1_11gap_sterkere_kronekurs;PPR1_11xe_sterkere_kronekurs;PPR2_11folio_svakere_vekst_ute;PPR2_11gap_svakere_vekst_ute;PPR2_11xe_svakere_vekst_ute;PPR3_11folio_lavere_vekst_ute;PPR3_11gap_lavere_vekst_ute;PPR3_11xe_lavere_vekst_ute;PPR1_12folio_lavere_prisvekst_og_kapasitetsutnytting;PPR2_12folio_lavere_vekst;Foliorente;Produksjonsgap;CPI;CPI-jae;CPI handelspartnere (20), sesongjustert;I44;Arbeidsledighet;BNP Norge, fate priser sesongjuster;BNP Fastlandsnorge, faste priser sesongjunster;K2 husholdningel andel av BNP;K2 husholdninger, chained;Boligprisindeks;Kreditt/GDP (sum k2 husholdninger og k3 ikke-finansielle foretak i FLN) ;Gjeld (endring) husholdninger, firekvartalsvekst. ;Gjeldsvekst;Boligprisvekst;Kreditt Gap mot trend ved ensidig HP-filter³;Kreditt Gap mot trend ved utvidet HP-filter²;Kreditt Gap mot snitt siste 10 år;Boligpris Gap mot trend med ensidig HP-filter⁴;Boligpris Gap mot trend med utvidet HP-filter³;BoligprisGap mot snitt (rekursivt);NæringseiendomGap mot trend ved ensidig HP-filter³;NæringseiendomGap mot trend ved utvidet HP-filter²;NæringseiendomGap mot snitt (rekursivt)
2006-09-30;2.4;0.85;1.3;2.66;1.13;1;2.88;1.35;0.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.8731;1.45;2.2257289761;0.514986376;103.8767931584;92.2183;2.522;584286;471206.362559979;95.6022390461;1495474.74403842;116.5;164.40;12.93;12.90;16.00;15.80;12.54;26.42;17.26;13.01;32.95;35.26;16.48;12.14
2006-12-31;2.4;0.96;1.4;2.79;1.24;0.93;3.03;1.47;0.93;3.19;2.02;0.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1984;2.1;2.5007114093;0.8428184282;104.1387176468;94.7289;2.283;594032;486500.375630594;96.3427941728;1544184.23185649;117.9;166.20;12.39;12.40;16.86;16.17;12.85;26.87;18.30;13.58;35.70;34.24;15.57;13.04
2007-03-31;2.5;1.03;1.6;2.91;1.29;1.29;3.17;1.52;0.99;3.51;2.1;0.73;3.73;2.25;1.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.7266;2.7;1.0312201913;1.2096188748;104.7447985907;93.1477;2.075;590756;489805.713786962;95.9442942269;1575584.24306178;125.3;167.62;11.85;11.90;17.15;16.14;12.49;26.97;18.11;12.92;37.07;32.10;13.65;12.89
2007-06-30;2.6;1.09;1.7;3.02;1.35;1.3;3.33;1.54;1.02;3.51;2.08;0.75;4.09;2.34;1;4.09;2.25;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.1017;3.1;0.339463478;1.3513513514;105.3167686448;91.9539;1.895;593070;491736.451747027;96.8232090682;1627239.44847107;130;169.67;12.07;12.10;14.79;16.68;12.98;27.69;16.15;11.02;36.26;42.52;22.69;24.32
2007-09-30;2.9;1.12;1.9;3.17;1.4;1.37;3.51;1.54;1.17;3.59;2.12;0.79;4.09;2.25;1.2;4.64;2.18;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.6308;3.25;0.1696352841;1.595778326;105.7429658939;89.7521;1.892;602532;501607.244313071;97.3095543443;1671212.87143864;129.8;170.01;11.75;11.80;10.00;15.55;12.02;26.68;13.55;9.00;34.51;39.46;20.06;24.03
2007-12-31;3.2;1.13;2;3.35;1.44;1.51;3.7;1.53;1.29;3.7;2.13;1.03;4.09;2.22;1.24;4.64;2.18;1.48;5;2.82;1.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0397;3.3;1.3738043359;1.5828652818;107.0678856603;88.4341;1.759;608932;508444.111023551;97.7279843887;1717301.55095397;126.9;172.74;11.21;11.20;5.16;16.72;13.29;28.02;9.75;6.30;31.04;58.10;34.17;44.80
2008-03-31;3.4;1.12;2.2;3.51;1.47;1.89;3.87;1.51;1.6;3.84;2.11;1.41;4.09;2.14;1.32;4.71;2.09;1.62;4.95;2.81;1.38;5.25;3.09;2.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.25;3.09;3.5435113595;2.092654192;108.0814546991;88.4184;1.623;596981.7;504147.147524311;98.5796247753;1749859.35003675;129.9;176.31;11.06;11.00;1.65;18.58;15.09;30.13;7.22;5.06;28.90;53.19;28.19;44.20
2008-06-30;3.7;1.09;2.3;3.69;1.47;2.03;4.05;1.48;1.87;3.98;2.05;1.63;4.18;2.05;1.68;4.8;1.98;1.7;4.66;2.64;1.41;5.24;2.79;1.95;5.45;2.79;3.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.4444;2.69;3.2139927093;2.3706666667;109.1376154143;87.254;1.582;601357.2;508722.627864341;98.5780334457;1788617.66200387;131.5;177.22;9.92;9.90;-0.24;17.80;14.37;29.64;3.55;2.82;25.12;48.51;24.06;43.42
2008-09-30;4;1.05;2.3;3.87;1.46;2.09;4.22;1.44;1.92;4.13;1.97;1.89;4.33;1.95;1.81;4.96;1.84;1.87;4.54;2.39;1.5;5;2.36;1.91;5.55;2.36;2.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.75;2.05;4.7138018628;2.9350813373;110.1658409647;89.1091;1.712;599170.3;507526.606308209;98.5113350686;1819740.02177052;127;178.71;8.89;8.80;-2.80;17.60;14.09;29.67;-0.47;0.30;20.64;44.42;20.37;42.85
2008-12-31;4.2;1;2.4;4.04;1.43;2.18;4.39;1.39;1.97;4.27;1.86;2.02;4.5;1.83;1.9;5.02;1.69;1.95;4.49;2.13;1.62;4.9;1.93;1.71;5.21;2;2.83;MISSING;MISSING;MISSING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.8095;0.28;3.5958506224;2.880952381;109.7637802286;98.3984;1.981;597609.9;500154.392928413;99.1284722805;1846637.54542522;118.1;184.84;7.53;7.10;-7.13;21.76;17.93;34.18;-7.04;-4.69;12.68;25.67;7.75;26.18
